datetime,power,gfs_wind_speed_10m
2021-05-04 19:15:00,8.8326,4.745862
2021-05-04 19:30:00,8.8818,4.8451715
2021-05-04 19:45:00,8.9256,4.921766
2021-05-04 20:00:00,8.9586,4.3108087
2021-05-04 20:15:00,8.9641,3.7151957
2021-05-04 20:30:00,8.9421,3.5219145
2021-05-04 20:45:00,8.8927,3.4703434
2021-05-04 21:00:00,8.8108,3.4084954
2021-05-04 21:15:00,8.7075,3.4047592
2021-05-04 21:30:00,8.6588,3.3865125
2021-05-04 21:45:00,8.6913,3.2791
2021-05-04 22:00:00,8.8162,3.0754259
2021-05-04 22:15:00,9.0633,2.9071116
2021-05-04 22:30:00,9.4826,2.8438566
2021-05-04 22:45:00,10.1037,2.8441553
2021-05-04 23:00:00,10.9647,2.8400142
2021-05-04 23:15:00,12.1228,2.8567984
2021-05-04 23:30:00,13.6272,2.8766077
2021-05-04 23:45:00,15.5388,2.9410942
2021-05-05 00:00:00,16.0218,2.584483
2021-05-05 00:15:00,17.5252,2.4206722
2021-05-05 00:30:00,19.3742,4.3847094
2021-05-05 00:45:00,21.6139,5.229559
2021-05-05 01:00:00,24.2886,5.702042
2021-05-05 01:15:00,27.4717,6.000316
2021-05-05 01:30:00,31.0302,6.2275157
2021-05-05 01:45:00,34.9629,6.4192142
2021-05-05 02:00:00,39.283,6.432354
2021-05-05 02:15:00,43.9783,6.387043
2021-05-05 02:30:00,49.002,6.4211626
2021-05-05 02:45:00,54.3236,6.526892
2021-05-05 03:00:00,59.9005,6.6560683
2021-05-05 03:15:00,65.769,6.771294
2021-05-05 03:30:00,71.5703,6.844999
2021-05-05 03:45:00,77.2749,6.862079
2021-05-05 04:00:00,82.7886,6.77392
2021-05-05 04:15:00,88.0197,6.800198
2021-05-05 04:30:00,92.527,6.8803477
2021-05-05 04:45:00,96.2407,7.0694666
2021-05-05 05:00:00,99.1679,7.1894145
2021-05-05 05:15:00,101.3056,7.178132
2021-05-05 05:30:00,102.6916,7.143541
2021-05-05 05:45:00,103.4009,6.962886
2021-05-05 06:00:00,103.5146,6.8316603
2021-05-05 06:15:00,103.0603,6.9152045
2021-05-05 06:30:00,102.465,6.9256263
2021-05-05 06:45:00,101.7858,6.9921827
2021-05-05 07:00:00,100.9953,6.9791327
2021-05-05 07:15:00,100.0943,6.8876286
2021-05-05 07:30:00,99.4203,6.8420696
2021-05-05 07:45:00,99.0558,6.9166617
2021-05-05 08:00:00,98.9998,7.27096
2021-05-05 08:15:00,99.3081,7.2728896
2021-05-05 08:30:00,100.0662,7.9579887
2021-05-05 08:45:00,101.2492,8.438281
2021-05-05 09:00:00,102.9468,8.542031
2021-05-05 09:15:00,105.1374,8.428066
2021-05-05 09:30:00,108.2871,8.412099
2021-05-05 09:45:00,112.4097,8.374731
2021-05-05 10:00:00,117.5103,8.4995165
2021-05-05 10:15:00,123.5724,8.753555
2021-05-05 10:30:00,129.9959,9.151302
2021-05-05 10:45:00,136.7004,9.5926485
2021-05-05 11:00:00,143.5938,10.018715
2021-05-05 11:15:00,150.5009,10.492638
2021-05-05 11:30:00,156.9532,11.063147
2021-05-05 11:45:00,162.7192,11.533039
2021-05-05 12:00:00,167.4893,11.87968
2021-05-05 12:15:00,172.553,12.167918
2021-05-05 12:30:00,177.3176,12.441808
2021-05-05 12:45:00,180.6306,12.64442
2021-05-05 13:00:00,182.8661,12.755621
2021-05-05 13:15:00,184.3276,12.829525
2021-05-05 13:30:00,185.2018,12.870472
2021-05-05 13:45:00,185.7073,12.82175
2021-05-05 14:00:00,185.9872,12.768645
2021-05-05 14:15:00,186.1345,12.766301
2021-05-05 14:30:00,186.2044,12.688416
2021-05-05 14:45:00,186.2341,12.581754
2021-05-05 15:00:00,186.2435,12.448169
2021-05-05 15:15:00,186.239,12.3211
2021-05-05 15:30:00,186.2152,12.208509
2021-05-05 15:45:00,186.1529,12.113133
2021-05-05 16:00:00,186.0171,11.990485
2021-05-05 16:15:00,185.7457,11.831699
2021-05-05 16:30:00,185.2973,11.676651
2021-05-05 16:45:00,184.5925,11.557038
2021-05-05 17:00:00,183.5227,11.475478
2021-05-05 17:15:00,181.9407,11.408949
2021-05-05 17:30:00,179.6111,11.32922
2021-05-05 17:45:00,176.2481,11.204704
2021-05-05 18:00:00,171.4129,11.036035
2021-05-05 18:15:00,166.8206,10.813597
2021-05-05 18:30:00,161.8469,10.528267
2021-05-05 18:45:00,155.705,10.198651
2021-05-05 19:00:00,148.5596,9.825265
2021-05-05 19:15:00,140.6217,9.413234
2021-05-05 19:30:00,132.3339,8.945752
2021-05-05 19:45:00,123.9198,7.9526944
2021-05-05 20:00:00,115.5665,6.743194
2021-05-05 20:15:00,107.3973,5.3907595
2021-05-05 20:30:00,99.5325,4.532631
2021-05-05 20:45:00,92.0636,4.103445
2021-05-05 21:00:00,84.9772,3.8717308
2021-05-05 21:15:00,78.376,3.7695494
2021-05-05 21:30:00,72.3111,3.7408192
2021-05-05 21:45:00,66.8131,3.8382828
2021-05-05 22:00:00,61.7868,4.072115
2021-05-05 22:15:00,57.2282,4.5395913
2021-05-05 22:30:00,52.8923,4.950688
2021-05-05 22:45:00,48.8004,4.9330173
2021-05-05 23:00:00,44.933,4.945855
2021-05-05 23:15:00,41.2724,4.9981337
2021-05-05 23:30:00,37.8035,5.0168366
2021-05-05 23:45:00,34.5135,5.003865
2021-05-06 00:00:00,28.1654,5.0475264
2021-05-06 00:15:00,25.8247,5.043448
2021-05-06 00:30:00,23.6513,4.9073334
2021-05-06 00:45:00,21.6525,4.764856
2021-05-06 01:00:00,19.7949,4.6728773
2021-05-06 01:15:00,18.0759,4.9105487
2021-05-06 01:30:00,16.523,5.324704
2021-05-06 01:45:00,15.1252,5.005592
2021-05-06 02:00:00,13.8863,4.746997
