datetime,power,gfs_wind_speed_10m,gfs_wind_speed_70m
2021-05-04 09:30:00,71.5703,10.137865,11.951723
2021-05-04 09:45:00,70.8105,10.219802,12.037338
2021-05-04 10:00:00,69.9852,10.133729,11.884867
2021-05-04 10:15:00,69.1426,9.945083,11.626997
2021-05-04 10:30:00,68.0523,9.76533,11.385789
2021-05-04 10:45:00,66.7219,9.618456,11.1916485
2021-05-04 11:00:00,65.0938,9.498018,11.021159
2021-05-04 11:15:00,63.1398,9.382669,10.844075
2021-05-04 11:30:00,60.8387,9.22647,10.6322
2021-05-04 11:45:00,58.2204,9.074204,10.431503
2021-05-04 12:00:00,55.2999,8.888627,10.191813
2021-05-04 12:15:00,52.0813,8.654048,9.90486
2021-05-04 12:30:00,48.9103,8.370909,9.547357
2021-05-04 12:45:00,45.7812,7.99427,9.084201
2021-05-04 13:00:00,42.7409,7.6455064,8.652636
2021-05-04 13:15:00,39.7653,7.3384595,8.269249
2021-05-04 13:30:00,36.8665,6.997497,7.8478985
2021-05-04 13:45:00,34.0548,6.648794,7.4231753
2021-05-04 14:00:00,31.3394,6.3266077,7.028215
2021-05-04 14:15:00,28.74,6.09193,6.735074
2021-05-04 14:30:00,26.271,5.9409056,6.534146
2021-05-04 14:45:00,23.9109,5.862477,6.4188466
2021-05-04 15:00:00,21.7008,5.6774516,6.1886797
2021-05-04 15:15:00,19.624,5.372335,5.7996583
2021-05-04 15:30:00,17.8157,5.146461,5.5571394
2021-05-04 15:45:00,16.2398,4.9831715,5.3871665
2021-05-04 16:00:00,14.9028,4.8570642,5.246635
2021-05-04 16:15:00,13.7808,4.7191906,5.088086
2021-05-04 16:30:00,12.781,4.566047,4.9118023
2021-05-04 16:45:00,11.9037,4.460436,4.798181
2021-05-04 17:00:00,11.1428,4.4354153,4.7849407
2021-05-04 17:15:00,10.4756,4.4099207,4.7761927
2021-05-04 17:30:00,9.9465,4.3832827,4.7643538
2021-05-04 17:45:00,9.5336,4.376388,4.774503
2021-05-04 18:00:00,9.2243,4.391745,4.811666
2021-05-04 18:15:00,9.0026,4.425003,4.8688245
2021-05-04 18:30:00,8.8599,4.4758925,4.953698
2021-05-04 18:45:00,8.7944,4.561822,5.090843
2021-05-04 19:00:00,8.789,4.662303,5.251361
2021-05-04 19:15:00,8.8326,4.745862,5.4075594
2021-05-04 19:30:00,8.8818,4.8451715,5.606201
2021-05-04 19:45:00,8.9256,4.921766,5.848534
2021-05-04 20:00:00,8.9586,4.3108087,5.9798384
2021-05-04 20:15:00,8.9641,3.7151957,6.193949
2021-05-04 20:30:00,8.9421,3.5219145,6.376724
2021-05-04 20:45:00,8.8927,3.4703434,6.5116115
2021-05-04 21:00:00,8.8108,3.4084954,6.591551
2021-05-04 21:15:00,8.7075,3.4047592,6.6732554
2021-05-04 21:30:00,8.6588,3.3865125,6.647524
2021-05-04 21:45:00,8.6913,3.2791,6.407038
