datetime,actual_power,predicted_power,wind,wind_2,wind_3,hour,month,is_daytime,wind_lag_1h,wind_lag_24h,corrected_average_wind_speed,original_average_wind_speed,original_gfs_wind_speed_70m,original_ec_wind_speed_70m,error,abs_error
2022-08-16 11:15:00,7.9955,25.955788050603516,5.471649679428347,29.938950214388328,163.81544734297913,11,8,1,5.359126346462156,4.714946004959704,5.471649679428347,5.8688211500000005,6.5847893,5.152853,17.960288050603516,17.960288050603516
2022-08-16 11:30:00,14.3849,25.955788050603516,5.471649679428347,29.938950214388328,163.81544734297913,11,8,1,5.471649679428347,4.714946004959704,5.471649679428347,6.1234415,6.884304,5.362579,11.570888050603516,11.570888050603516
2022-08-16 11:45:00,19.7108,26.061107666574202,5.577557350140037,31.109145994101148,173.51304589597834,11,8,1,5.471649679428347,4.653042651900293,5.577557350140037,6.42714375,7.2262945,5.627993,6.350307666574203,6.350307666574203
2022-08-16 12:00:00,26.0646,34.76428636304134,6.348960748600545,40.309302587270395,255.92217993004212,12,8,1,5.577557350140037,4.5998823175502,6.348960748600545,6.7874086,7.5901737,5.9846435,8.699686363041344,8.699686363041344
2022-08-16 12:15:00,27.2921,45.037303142097386,6.848254062994222,46.898583711316874,321.1734164497004,12,8,1,6.348960748600545,4.5998823175502,6.848254062994222,7.128405300000001,7.9048166,6.351994,17.745203142097385,17.745203142097385
2022-08-16 12:30:00,29.3765,49.384076524368616,7.092703943952944,50.30644923656564,356.80875090645765,12,8,1,6.848254062994222,4.5998823175502,7.092703943952944,7.378837,8.137065,6.620609,20.007576524368616,20.007576524368616
2022-08-16 12:45:00,32.0426,51.78484569463246,7.189246844431074,51.68527019016216,371.5781656181908,12,8,1,7.092703943952944,4.5998823175502,7.189246844431074,7.512700800000001,8.23135,6.7940516,19.74224569463246,19.74224569463246
2022-08-16 13:00:00,35.7615,53.1091712868207,7.278371889251646,52.97469735824857,385.5695480938898,13,8,1,7.189246844431074,4.5998823175502,7.278371889251646,7.5218856,8.240643,6.8031282,17.3476712868207,17.3476712868207
2022-08-16 13:15:00,35.4852,61.2930265582415,7.545164435767481,56.92950636277042,429.54248675417386,13,8,1,7.278371889251646,4.5998823175502,7.545164435767481,7.5985265,8.35175,6.845303,25.8078265582415,25.8078265582415
2022-08-16 13:30:00,34.9197,66.433788200855,7.545164435767481,56.92950636277042,429.54248675417386,13,8,1,7.545164435767481,4.5998823175502,7.545164435767481,7.71894685,8.486965,6.9509287,31.514088200855007,31.514088200855007
2022-08-16 13:45:00,33.8115,66.433788200855,7.566756462411882,57.25580336145198,433.2407200958507,13,8,1,7.545164435767481,4.5998823175502,7.566756462411882,7.754033000000001,8.508762,6.999304,32.622288200855,32.622288200855
2022-08-16 14:00:00,28.9722,73.11993028415897,7.566756462411882,57.25580336145198,433.2407200958507,14,8,1,7.566756462411882,4.5998823175502,7.566756462411882,7.7588585,8.531854,6.985863,44.14773028415897,44.14773028415897
2022-08-16 14:15:00,28.2278,73.11993028415897,7.563733136476028,57.21005895982549,432.7216186941793,14,8,1,7.566756462411882,4.750888875772086,7.563733136476028,7.7279672,8.482406,6.9735284,44.892130284158966,44.892130284158966
2022-08-16 14:30:00,27.7752,73.11993028415897,7.563733136476028,57.21005895982549,432.7216186941793,14,8,1,7.563733136476028,4.750888875772086,7.563733136476028,7.67322135,8.439682,6.9067607,45.34473028415897,45.34473028415897
2022-08-16 14:45:00,21.4399,73.11993028415897,7.554888570417405,57.07634131142354,431.2053986149165,14,8,1,7.563733136476028,4.750888875772086,7.554888570417405,7.6534255,8.436681,6.87017,51.68003028415897,51.68003028415897
2022-08-16 15:00:00,24.7645,73.11993028415897,7.554888570417405,57.07634131142354,431.2053986149165,15,8,1,7.554888570417405,4.750888875772086,7.554888570417405,7.61342615,8.397478,6.8293743,48.35543028415897,48.35543028415897
2022-08-16 15:15:00,26.7501,69.5187303612974,7.53771634316239,56.81716766997739,428.2716933181863,15,8,1,7.554888570417405,4.748757342193343,7.53771634316239,7.542370099999999,8.3381405,6.7465997,42.7686303612974,42.7686303612974
2022-08-16 15:30:00,27.3966,69.5187303612974,7.344740354325183,53.94521087245282,396.21356721748583,15,8,1,7.53771634316239,4.755520915880632,7.344740354325183,7.491625,8.284414,6.698836,42.1221303612974,42.1221303612974
2022-08-16 15:45:00,35.4028,68.27788241583862,7.344740354325183,53.94521087245282,396.21356721748583,15,8,1,7.344740354325183,4.755520915880632,7.344740354325183,7.4611605,8.219999,6.702322,32.87508241583862,32.87508241583862
2022-08-16 16:00:00,39.0038,68.57506346634882,7.344740354325183,53.94521087245282,396.21356721748583,16,8,1,7.344740354325183,4.755520915880632,7.344740354325183,7.4593853,8.227968,6.6908026,29.571263466348825,29.571263466348825
2022-08-16 16:15:00,41.8021,57.592278018085786,7.280675427150083,53.00823467550704,385.93575163856906,16,8,1,7.344740354325183,4.963988650360741,7.280675427150083,7.49752375,8.2626705,6.732377,15.790178018085783,15.790178018085783
2022-08-16 16:30:00,42.7625,59.42103080028101,7.473651415987289,55.85546548768882,417.44427873269467,16,8,1,7.280675427150083,5.129569555528474,7.473651415987289,7.6404445,8.392298,6.888591,16.658530800281007,16.658530800281007
2022-08-16 16:45:00,43.3955,60.14420730152329,7.473651415987289,55.85546548768882,417.44427873269467,16,8,1,7.473651415987289,5.129569555528474,7.473651415987289,7.7705079,8.47813,7.0628858,16.74870730152329,16.74870730152329
2022-08-16 17:00:00,46.1156,57.97059627674543,7.4385483015900125,55.33200083508766,411.5897608354185,17,8,1,7.473651415987289,5.359126346462156,7.4385483015900125,7.870820650000001,8.551944,7.1896973,11.854996276745432,11.854996276745432
2022-08-16 17:15:00,51.0955,59.3769488946883,7.575610466901155,57.38987394622234,434.76332976113986,17,8,1,7.4385483015900125,5.471649679428347,7.575610466901155,7.9402954999999995,8.719078,7.161513,8.281448894688296,8.281448894688296
2022-08-16 17:30:00,51.0955,60.617796840147086,7.575610466901155,57.38987394622234,434.76332976113986,17,8,1,7.575610466901155,5.471649679428347,7.575610466901155,7.884434,8.807172,6.961696,9.522296840147085,9.522296840147085
2022-08-16 17:45:00,25.0318,60.617796840147086,7.575623342579044,57.39006902862848,434.76554656550053,17,8,1,7.575610466901155,5.577557350140037,7.575623342579044,7.80620415,8.873789,6.7386193,35.58599684014709,35.58599684014709
2022-08-16 18:00:00,36.4925,63.03795755544346,7.62762245245976,58.180624277268244,443.7798360354167,18,8,0,7.575623342579044,6.348960748600545,7.62762245245976,7.7315395,8.889051,6.574028,26.545457555443463,26.545457555443463
2022-08-16 18:15:00,58.0432,64.68431832349216,7.62762245245976,58.180624277268244,443.7798360354167,18,8,0,7.62762245245976,6.848254062994222,7.62762245245976,7.7242467,8.932291,6.5162024,6.641118323492165,6.641118323492165
2022-08-16 18:30:00,52.2464,64.68431832349216,7.695702404446924,59.223835497810164,455.7690132410668,18,8,0,7.62762245245976,7.092703943952944,7.695702404446924,7.7568357500000005,8.96865,6.5450215,12.437918323492163,12.437918323492163
2022-08-16 18:45:00,50.7972,64.68431832349216,7.695702404446924,59.223835497810164,455.7690132410668,18,8,0,7.695702404446924,7.189246844431074,7.695702404446924,7.90974185,8.974987,6.8444967,13.887118323492167,13.887118323492167
2022-08-16 19:00:00,49.7777,66.52658120116519,7.823498302295362,61.20712568601841,478.85384389294387,19,8,0,7.695702404446924,7.278371889251646,7.823498302295362,8.02771115,9.051312,7.0041103,16.748881201165183,16.748881201165183
2022-08-16 19:15:00,35.5058,67.76017344878053,7.944332752079833,63.11242287576834,501.3860881150789,19,8,0,7.823498302295362,7.545164435767481,7.944332752079833,8.12049485,9.033,7.2079897,32.254373448780534,32.254373448780534
2022-08-16 19:30:00,26.0362,69.81552452060738,7.944332752079833,63.11242287576834,501.3860881150789,19,8,0,7.944332752079833,7.545164435767481,7.944332752079833,8.23794555,9.0440035,7.4318876,43.77932452060738,43.77932452060738
2022-08-16 19:45:00,21.3013,71.66812318491053,8.177374791225017,66.86945847616238,546.8166240458382,19,8,0,7.944332752079833,7.566756462411882,8.177374791225017,8.43106035,9.253881,7.6082397,50.36682318491053,50.36682318491053
2022-08-16 20:00:00,21.3013,66.73966939531901,7.758355706447117,60.19208326776054,466.99159270337,20,8,0,8.177374791225017,7.566756462411882,7.758355706447117,8.252179,9.019522,7.484836,45.438369395319015,45.438369395319015
